Alpha,T2-VLM2, , 
            0,     0.1521217, , 
          0.5,     0.1947904, , 
            1,      0.237429, , 
          1.5,     0.2800287, , 
            2,     0.3225813, , 
          2.5,     0.3650781, , 
            3,     0.4075108, , 
          3.5,     0.4498708, , 
            4,     0.4921499, , 
          4.5,     0.5343397, , 
            5,     0.5764318, , 
          5.5,      0.618418, , 
            6,     0.6602902, , 
          6.5,       0.70204, , 
            7,     0.7436595, , 
          7.5,     0.7851407, , 
            8,     0.8264754, , 
          8.5,     0.8676559, , 
            9,     0.9086743, , 
          9.5,     0.9495229, , 
           10,      0.990194, , 
         10.5,       1.03068, , 
           11,      1.070974, , 
         11.5,      1.111067, , 
           12,      1.150953, , 

